Type                                  Module                      Label             Process           
------------------------------------------------------------------------------------------------------
vector<int>                           "genParticles"              ""                "SIM"             
vector<reco::GenParticle>             "genParticles"              ""                "SIM"             
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "L1TrackTrigger"   
BXVector<l1t::CaloSpare>              "caloStage1Digis"           ""                "jadtest"         
BXVector<l1t::CaloSpare>              "caloStage1FinalDigis"      ""                "jadtest"         
BXVector<l1t::EGamma>                 "caloStage1Digis"           ""                "jadtest"         
BXVector<l1t::EGamma>                 "caloStage1FinalDigis"      ""                "jadtest"         
BXVector<l1t::EtSum>                  "caloStage1Digis"           ""                "jadtest"         
BXVector<l1t::EtSum>                  "caloStage1FinalDigis"      ""                "jadtest"         
BXVector<l1t::Jet>                    "caloStage1Digis"           ""                "jadtest"         
BXVector<l1t::Jet>                    "caloStage1FinalDigis"      ""                "jadtest"         
BXVector<l1t::Tau>                    "caloStage1Digis"           ""                "jadtest"         
BXVector<l1t::Tau>                    "caloStage1FinalDigis"      ""                "jadtest"         
EtaPhiContainer<l1slhc::L1CaloTower>    "L1CaloTowerProducer"       ""                "jadtest"         
double                                "ak4GenJets"                "rho"             "jadtest"         
double                                "ak4GenJets"                "sigma"           "jadtest"         
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "ecalDigis"                 "EcalTriggerPrimitives"   "jadtest"         
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "valHcalTriggerPrimitiveDigis"   ""                "jadtest"         
vector<L1CaloEmCand>                  "gctDigis"                  ""                "jadtest"         
vector<L1CaloRegion>                  "gctDigis"                  ""                "jadtest"         
vector<L1GctEmCand>                   "caloStage1LegacyFormatDigis"   "isoEm"           "jadtest"         
vector<L1GctEmCand>                   "gctDigis"                  "isoEm"           "jadtest"         
vector<L1GctEmCand>                   "valGctDigis"               "isoEm"           "jadtest"         
vector<L1GctEmCand>                   "caloStage1LegacyFormatDigis"   "nonIsoEm"        "jadtest"         
vector<L1GctEmCand>                   "gctDigis"                  "nonIsoEm"        "jadtest"         
vector<L1GctEmCand>                   "valGctDigis"               "nonIsoEm"        "jadtest"         
vector<L1GctEtHad>                    "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctEtHad>                    "gctDigis"                  ""                "jadtest"         
vector<L1GctEtHad>                    "valGctDigis"               ""                "jadtest"         
vector<L1GctEtMiss>                   "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctEtMiss>                   "gctDigis"                  ""                "jadtest"         
vector<L1GctEtMiss>                   "valGctDigis"               ""                "jadtest"         
vector<L1GctEtTotal>                  "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctEtTotal>                  "gctDigis"                  ""                "jadtest"         
vector<L1GctEtTotal>                  "valGctDigis"               ""                "jadtest"         
vector<L1GctFibreWord>                "gctDigis"                  ""                "jadtest"         
vector<L1GctHFBitCounts>              "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctHFBitCounts>              "gctDigis"                  ""                "jadtest"         
vector<L1GctHFBitCounts>              "valGctDigis"               ""                "jadtest"         
vector<L1GctHFRingEtSums>             "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctHFRingEtSums>             "gctDigis"                  ""                "jadtest"         
vector<L1GctHFRingEtSums>             "valGctDigis"               ""                "jadtest"         
vector<L1GctHtMiss>                   "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctHtMiss>                   "gctDigis"                  ""                "jadtest"         
vector<L1GctHtMiss>                   "valGctDigis"               ""                "jadtest"         
vector<L1GctInternEmCand>             "gctDigis"                  ""                "jadtest"         
vector<L1GctInternEtSum>              "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctInternEtSum>              "gctDigis"                  ""                "jadtest"         
vector<L1GctInternEtSum>              "valGctDigis"               ""                "jadtest"         
vector<L1GctInternHFData>             "gctDigis"                  ""                "jadtest"         
vector<L1GctInternHtMiss>             "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctInternHtMiss>             "gctDigis"                  ""                "jadtest"         
vector<L1GctInternHtMiss>             "valGctDigis"               ""                "jadtest"         
vector<L1GctInternJetData>            "caloStage1LegacyFormatDigis"   ""                "jadtest"         
vector<L1GctInternJetData>            "gctDigis"                  ""                "jadtest"         
vector<L1GctInternJetData>            "valGctDigis"               ""                "jadtest"         
vector<L1GctJetCand>                  "caloStage1LegacyFormatDigis"   "cenJets"         "jadtest"         
vector<L1GctJetCand>                  "gctDigis"                  "cenJets"         "jadtest"         
vector<L1GctJetCand>                  "valGctDigis"               "cenJets"         "jadtest"         
vector<L1GctJetCand>                  "caloStage1LegacyFormatDigis"   "forJets"         "jadtest"         
vector<L1GctJetCand>                  "gctDigis"                  "forJets"         "jadtest"         
vector<L1GctJetCand>                  "valGctDigis"               "forJets"         "jadtest"         
vector<L1GctJetCand>                  "caloStage1LegacyFormatDigis"   "tauJets"         "jadtest"         
vector<L1GctJetCand>                  "gctDigis"                  "tauJets"         "jadtest"         
vector<L1GctJetCand>                  "valGctDigis"               "tauJets"         "jadtest"         
vector<L1GctJetCounts>                "gctDigis"                  ""                "jadtest"         
vector<L1TriggerError>                "gctDigis"                  ""                "jadtest"         
vector<double>                        "ak4GenJets"                "rhos"            "jadtest"         
vector<double>                        "ak4GenJets"                "sigmas"          "jadtest"         
vector<reco::GenJet>                  "ak4GenJets"                ""                "jadtest"         
